x, y, z, r, g, b
-99, -30, 60, 9.9, 3.0, 6.0
-99, -29, 58, 9.9, 2.9, 5.8
-99, -28, 56, 9.9, 2.8, 5.6
-99, -27, 54, 9.9, 2.7, 5.4
-99, -26, 52, 9.9, 2.6, 5.2
-99, -25, 50, 9.9, 2.5, 5.0
-99, -24, 48, 9.9, 2.4, 4.8
-99, -23, 46, 9.9, 2.3, 4.6
-99, -22, 44, 9.9, 2.2, 4.4
-99, -21, 42, 9.9, 2.1, 4.2
-99, -20, 40, 9.9, 2.0, 4.0
-99, -19, 38, 9.9, 1.9, 3.8
-99, -18, 36, 9.9, 1.8, 3.6
-99, -17, 34, 9.9, 1.7, 3.4
-99, -16, 32, 9.9, 1.6, 3.2
-99, -15, 30, 9.9, 1.5, 3.0
-99, -14, 28, 9.9, 1.4, 2.8
-99, -13, 26, 9.9, 1.3, 2.6
-99, -12, 24, 9.9, 1.2, 2.4
-99, -11, 22, 9.9, 1.1, 2.2
-99, -10, 20, 9.9, 1.0, 2.0
-99, -9, 18, 9.9, 0.9, 1.8
-99, -8, 16, 9.9, 0.8, 1.6
-99, -7, 14, 9.9, 0.7, 1.4
-99, -6, 12, 9.9, 0.6, 1.2
-99, -5, 10, 9.9, 0.5, 1.0
-99, -4, 8, 9.9, 0.4, 0.8
-99, -3, 6, 9.9, 0.3, 0.6
-99, -2, 4, 9.9, 0.2, 0.4
-99, -1, 2, 9.9, 0.1, 0.2
-99, 0, 0, 9.9, 0.0, 0.0
-99, 1, -2, 9.9, 0.1, 0.2
-99, 2, -4, 9.9, 0.2, 0.4
-99, 3, -6, 9.9, 0.3, 0.6
-99, 4, -8, 9.9, 0.4, 0.8
-99, 5, -10, 9.9, 0.5, 1.0
-99, 6, -12, 9.9, 0.6, 1.2
-99, 7, -14, 9.9, 0.7, 1.4
-99, 8, -16, 9.9, 0.8, 1.6
-99, 9, -18, 9.9, 0.9, 1.8
-99, 10, -20, 9.9, 1.0, 2.0
-99, 11, -22, 9.9, 1.1, 2.2
-99, 12, -24, 9.9, 1.2, 2.4
-99, 13, -26, 9.9, 1.3, 2.6
-99, 14, -28, 9.9, 1.4, 2.8
-99, 15, -30, 9.9, 1.5, 3.0
-99, 16, -32, 9.9, 1.6, 3.2
-99, 17, -34, 9.9, 1.7, 3.4
-99, 18, -36, 9.9, 1.8, 3.6
-99, 19, -38, 9.9, 1.9, 3.8
-99, 20, -40, 9.9, 2.0, 4.0
-99, 21, -42, 9.9, 2.1, 4.2
-99, 22, -44, 9.9, 2.2, 4.4
-99, 23, -46, 9.9, 2.3, 4.6
-99, 24, -48, 9.9, 2.4, 4.8
-99, 25, -50, 9.9, 2.5, 5.0
-99, 26, -52, 9.9, 2.6, 5.2
-99, 27, -54, 9.9, 2.7, 5.4
-99, 28, -56, 9.9, 2.8, 5.6
-99, 29, -58, 9.9, 2.9, 5.8
-99, 30, -60, 9.9, 3.0, 6.0
-99, 31, -62, 9.9, 3.1, 6.2
-99, 32, -64, 9.9, 3.2, 6.4
-99, 33, -66, 9.9, 3.3, 6.6
-99, 34, -68, 9.9, 3.4, 6.8
-99, 35, -70, 9.9, 3.5, 7.0
-99, 36, -72, 9.9, 3.6, 7.2
-99, 37, -74, 9.9, 3.7, 7.4
-99, 38, -76, 9.9, 3.8, 7.6
-99, 39, -78, 9.9, 3.9, 7.8
-99, 40, -80, 9.9, 4.0, 8.0
-99, 41, -82, 9.9, 4.1, 8.2
-99, 42, -84, 9.9, 4.2, 8.4
-99, 43, -86, 9.9, 4.3, 8.6
-99, 44, -88, 9.9, 4.4, 8.8
-99, 45, -90, 9.9, 4.5, 9.0
-99, 46, -92, 9.9, 4.6, 9.2
-99, 47, -94, 9.9, 4.7, 9.4
-99, 48, -96, 9.9, 4.8, 9.6
-99, 49, -98, 9.9, 4.9, 9.8
-99, 50, -100, 9.9, 5.0, 10.0
-99, 51, -102, 9.9, 5.1, 10.2
-99, 52, -104, 9.9, 5.2, 10.4
-99, 53, -106, 9.9, 5.3, 10.6
-99, 54, -108, 9.9, 5.4, 10.8
-99, 55, -110, 9.9, 5.5, 11.0
-99, 56, -112, 9.9, 5.6, 11.2
-99, 57, -114, 9.9, 5.7, 11.4
-99, 58, -116, 9.9, 5.8, 11.6
-99, 59, -118, 9.9, 5.9, 11.8
-99, 60, -120, 9.9, 6.0, 12.0
-99, 61, -122, 9.9, 6.1, 12.2
-99, 62, -124, 9.9, 6.2, 12.4
-99, 63, -126, 9.9, 6.3, 12.6
-99, 64, -128, 9.9, 6.4, 12.8
-99, 65, -130, 9.9, 6.5, 13.0
-99, 66, -132, 9.9, 6.6, 13.2
-99, 67, -134, 9.9, 6.7, 13.4
-99, 68, -136, 9.9, 6.8, 13.6
-99, 69, -138, 9.9, 6.9, 13.8
-99, 70, -140, 9.9, 7.0, 14.0
-99, 71, -142, 9.9, 7.1, 14.2
-99, 72, -144, 9.9, 7.2, 14.4
-99, 73, -146, 9.9, 7.3, 14.6
-99, 74, -148, 9.9, 7.4, 14.8
-99, 75, -150, 9.9, 7.5, 15.0
-99, 76, -152, 9.9, 7.6, 15.2
-99, 77, -154, 9.9, 7.7, 15.4
-99, 78, -156, 9.9, 7.8, 15.6
-99, 79, -158, 9.9, 7.9, 15.8
-99, 80, -160, 9.9, 8.0, 16.0
-99, 81, -162, 9.9, 8.1, 16.2
-99, 82, -164, 9.9, 8.2, 16.4
-99, 83, -166, 9.9, 8.3, 16.6
-99, 84, -168, 9.9, 8.4, 16.8
-99, 85, -170, 9.9, 8.5, 17.0
-99, 86, -172, 9.9, 8.6, 17.2
-99, 87, -174, 9.9, 8.7, 17.4
-99, 88, -176, 9.9, 8.8, 17.6
-99, 89, -178, 9.9, 8.9, 17.8
-99, 90, -180, 9.9, 9.0, 18.0
-99, 91, -182, 9.9, 9.1, 18.2
-99, 92, -184, 9.9, 9.2, 18.4
-99, 93, -186, 9.9, 9.3, 18.6
-99, 94, -188, 9.9, 9.4, 18.8
-99, 95, -190, 9.9, 9.5, 19.0
-99, 96, -192, 9.9, 9.6, 19.2
-99, 97, -194, 9.9, 9.7, 19.4
-99, 98, -196, 9.9, 9.8, 19.6
-99, 99, -198, 9.9, 9.9, 19.8
-99, 100, -198, 9.9, 10.0, 19.8
-98, -100, 196, 9.8, 10.0, 19.6
-98, -99, 196, 9.8, 9.9, 19.6
-98, -98, 196, 9.8, 9.8, 19.6
-98, -97, 194, 9.8, 9.7, 19.4
-98, -96, 192, 9.8, 9.6, 19.2
-98, -95, 190, 9.8, 9.5, 19.0
-98, -94, 188, 9.8, 9.4, 18.8
-98, -93, 186, 9.8, 9.3, 18.6
-98, -92, 184, 9.8, 9.2, 18.4
-98, -91, 182, 9.8, 9.1, 18.2
-98, -90, 180, 9.8, 9.0, 18.0
-98, -89, 178, 9.8, 8.9, 17.8
-98, -88, 176, 9.8, 8.8, 17.6
-98, -87, 174, 9.8, 8.7, 17.4
-98, -86, 172, 9.8, 8.6, 17.2
-98, -85, 170, 9.8, 8.5, 17.0
-98, -84, 168, 9.8, 8.4, 16.8
-98, -83, 166, 9.8, 8.3, 16.6
-98, -82, 164, 9.8, 8.2, 16.4
-98, -81, 162, 9.8, 8.1, 16.2
-98, -80, 160, 9.8, 8.0, 16.0
-98, -79, 158, 9.8, 7.9, 15.8
-98, -78, 156, 9.8, 7.8, 15.6
-98, -77, 154, 9.8, 7.7, 15.4
-98, -76, 152, 9.8, 7.6, 15.2
-98, -75, 150, 9.8, 7.5, 15.0
-98, -74, 148, 9.8, 7.4, 14.8
-98, -73, 146, 9.8, 7.3, 14.6
-98, -72, 144, 9.8, 7.2, 14.4
-98, -71, 142, 9.8, 7.1, 14.2
-98, -70, 140, 9.8, 7.0, 14.0
-98, -69, 138, 9.8, 6.9, 13.8
-98, -68, 136, 9.8, 6.8, 13.6
-98, -67, 134, 9.8, 6.7, 13.4
-98, -66, 132, 9.8, 6.6, 13.2
-98, -65, 130, 9.8, 6.5, 13.0
-98, -64, 128, 9.8, 6.4, 12.8
-98, -63, 126, 9.8, 6.3, 12.6
-98, -62, 124, 9.8, 6.2, 12.4
-98, -61, 122, 9.8, 6.1, 12.2
-98, -60, 120, 9.8, 6.0, 12.0
-98, -59, 118, 9.8, 5.9, 11.8
-98, -58, 116, 9.8, 5.8, 11.6
-98, -57, 114, 9.8, 5.7, 11.4
-98, -56, 112, 9.8, 5.6, 11.2
-98, -55, 110, 9.8, 5.5, 11.0
-98, -54, 108, 9.8, 5.4, 10.8
-98, -53, 106, 9.8, 5.3, 10.6
-98, -52, 104, 9.8, 5.2, 10.4
-98, -51, 102, 9.8, 5.1, 10.2
-98, -50, 100, 9.8, 5.0, 10.0
-98, -49, 98, 9.8, 4.9, 9.8
-98, -48, 96, 9.8, 4.8, 9.6
-98, -47, 94, 9.8, 4.7, 9.4
-98, -46, 92, 9.8, 4.6, 9.2
-98, -45, 90, 9.8, 4.5, 9.0
-98, -44, 88, 9.8, 4.4, 8.8
-98, -43, 86, 9.8, 4.3, 8.6
-98, -42, 84, 9.8, 4.2, 8.4
-98, -41, 82, 9.8, 4.1, 8.2
-98, -40, 80, 9.8, 4.0, 8.0
-98, -39, 78, 9.8, 3.9, 7.8
-98, -38, 76, 9.8, 3.8, 7.6
-98, -37, 74, 9.8, 3.7, 7.4
-98, -36, 72, 9.8, 3.6, 7.2
-98, -35, 70, 9.8, 3.5, 7.0
-98, -34, 68, 9.8, 3.4, 6.8
-98, -33, 66, 9.8, 3.3, 6.6
-98, -32, 64, 9.8, 3.2, 6.4
-98, -31, 62, 9.8, 3.1, 6.2
-98, -30, 60, 9.8, 3.0, 6.0
-98, -29, 58, 9.8, 2.9, 5.8
-98, -28, 56, 9.8, 2.8, 5.6
-98, -27, 54, 9.8, 2.7, 5.4
-98, -26, 52, 9.8, 2.6, 5.2
-98, -25, 50, 9.8, 2.5, 5.0
-98, -24, 48, 9.8, 2.4, 4.8
-98, -23, 46, 9.8, 2.3, 4.6
-98, -22, 44, 9.8, 2.2, 4.4
-98, -21, 42, 9.8, 2.1, 4.2
-98, -20, 40, 9.8, 2.0, 4.0
-98, -19, 38, 9.8, 1.9, 3.8
-98, -18, 36, 9.8, 1.8, 3.6
-98, -17, 34, 9.8, 1.7, 3.4
-98, -16, 32, 9.8, 1.6, 3.2
-98, -15, 30, 9.8, 1.5, 3.0
-98, -14, 28, 9.8, 1.4, 2.8
-98, -13, 26, 9.8, 1.3, 2.6
-98, -12, 24, 9.8, 1.2, 2.4
-98, -11, 22, 9.8, 1.1, 2.2
-98, -10, 20, 9.8, 1.0, 2.0
-98, -9, 18, 9.8, 0.9, 1.8
-98, -8, 16, 9.8, 0.8, 1.6
-98, -7, 14, 9.8, 0.7, 1.4
-98, -6, 12, 9.8, 0.6, 1.2
-98, -5, 10, 9.8, 0.5, 1.0
-98, -4, 8, 9.8, 0.4, 0.8
-98, -3, 6, 9.8, 0.3, 0.6
-98, -2, 4, 9.8, 0.2, 0.4
-98, -1, 2, 9.8, 0.1, 0.2
-98, 0, 0, 9.8, 0.0, 0.0
-98, 1, -2, 9.8, 0.1, 0.2
-98, 2, -4, 9.8, 0.2, 0.4
-98, 3, -6, 9.8, 0.3, 0.6
-98, 4, -8, 9.8, 0.4, 0.8
-98, 5, -10, 9.8, 0.5, 1.0
-98, 6, -12, 9.8, 0.6, 1.2
-98, 7, -14, 9.8, 0.7, 1.4
-98, 8, -16, 9.8, 0.8, 1.6
-98, 9, -18, 9.8, 0.9, 1.8
-98, 10, -20, 9.8, 1.0, 2.0
-98, 11, -22, 9.8, 1.1, 2.2
-98, 12, -24, 9.8, 1.2, 2.4
-98, 13, -26, 9.8, 1.3, 2.6
-98, 14, -28, 9.8, 1.4, 2.8
-98, 15, -30, 9.8, 1.5, 3.0
-98, 16, -32, 9.8, 1.6, 3.2
-98, 17, -34, 9.8, 1.7, 3.4
-98, 18, -36, 9.8, 1.8, 3.6
-98, 19, -38, 9.8, 1.9, 3.8
-98, 20, -40, 9.8, 2.0, 4.0
-98, 21, -42, 9.8, 2.1, 4.2
-98, 22, -44, 9.8, 2.2, 4.4
-98, 23, -46, 9.8, 2.3, 4.6
-98, 24, -48, 9.8, 2.4, 4.8
-98, 25, -50, 9.8, 2.5, 5.0
-98, 26, -52, 9.8, 2.6, 5.2
-98, 27, -54, 9.8, 2.7, 5.4
-98, 28, -56, 9.8, 2.8, 5.6
-98, 29, -58, 9.8, 2.9, 5.8
-98, 30, -60, 9.8, 3.0, 6.0
-98, 31, -62, 9.8, 3.1, 6.2
-98, 32, -64, 9.8, 3.2, 6.4
-98, 33, -66, 9.8, 3.3, 6.6
-98, 34, -68, 9.8, 3.4, 6.8
-98, 35, -70, 9.8, 3.5, 7.0
-98, 36, -72, 9.8, 3.6, 7.2
-98, 37, -74, 9.8, 3.7, 7.4
-98, 38, -76, 9.8, 3.8, 7.6
-98, 39, -78, 9.8, 3.9, 7.8
-98, 40, -80, 9.8, 4.0, 8.0
-98, 41, -82, 9.8, 4.1, 8.2
-98, 42, -84, 9.8, 4.2, 8.4
-98, 43, -86, 9.8, 4.3, 8.6
-98, 44, -88, 9.8, 4.4, 8.8
-98, 45, -90, 9.8, 4.5, 9.0
-98, 46, -92, 9.8, 4.6, 9.2
-98, 47, -94, 9.8, 4.7, 9.4
-98, 48, -96, 9.8, 4.8, 9.6
-98, 49, -98, 9.8, 4.9, 9.8
-98, 50, -100, 9.8, 5.0, 10.0
-98, 51, -102, 9.8, 5.1, 10.2
-98, 52, -104, 9.8, 5.2, 10.4
-98, 53, -106, 9.8, 5.3, 10.6
-98, 54, -108, 9.8, 5.4, 10.8
-98, 55, -110, 9.8, 5.5, 11.0
-98, 56, -112, 9.8, 5.6, 11.2
-98, 57, -114, 9.8, 5.7, 11.4
-98, 58, -116, 9.8, 5.8, 11.6
-98, 59, -118, 9.8, 5.9, 11.8
-98, 60, -120, 9.8, 6.0, 12.0
-98, 61, -122, 9.8, 6.1, 12.2
-98, 62, -124, 9.8, 6.2, 12.4
-98, 63, -126, 9.8, 6.3, 12.6
-98, 64, -128, 9.8, 6.4, 12.8
-98, 65, -130, 9.8, 6.5, 13.0
-98, 66, -132, 9.8, 6.6, 13.2
-98, 67, -134, 9.8, 6.7, 13.4
-98, 68, -136, 9.8, 6.8, 13.6
-98, 69, -138, 9.8, 6.9, 13.8
-98, 70, -140, 9.8, 7.0, 14.0
-98, 71, -142, 9.8, 7.1, 14.2
-98, 72, -144, 9.8, 7.2, 14.4
-98, 73, -146, 9.8, 7.3, 14.6
-98, 74, -148, 9.8, 7.4, 14.8
-98, 75, -150, 9.8, 7.5, 15.0
-98, 76, -152, 9.8, 7.6, 15.2
-98, 77, -154, 9.8, 7.7, 15.4
-98, 78, -156, 9.8, 7.8, 15.6
-98, 79, -158, 9.8, 7.9, 15.8
